t,point 0,point 1,point 2,point 3,point 4,point 5
0,1,0,0,0,0,0
1,0.405,0.595,0,0,0,0
2,0.31575000000000003,0.330225,0.354025,0,0,0
3,0.21208612500000001,0.327681375,0.24958762499999998,0.21064487499999998,0,0
4,0.16945363125000001,0.23898829500000002,0.35774226249999996,0.180101368125,0.053714443125,0
5,0.12957073588125,0.22789743178125,0.303019688934375,0.27183194506562497,0.053983015340625,0.013697182996875
6,0.110589993136125,0.18854922329479687,0.34279193256404683,0.25319140080346875,0.08556442217596874,0.019313028025593752
7,0.09286899916030383,0.18149537221404582,0.3142544612230751,0.29285074119082954,0.08888972220650812,0.029640704005237502
8,0.08389326457450474,0.1626162479443718,0.32937410665936206,0.28379840031922643,0.10564661621775406,0.03467136428478076
9,0.07544391537848924,0.15829932681162343,0.31502283171574524,0.301407090159768,0.1088450462635104,0.040981789670863494
10,0.07092111406525212,0.14896485075945964,0.3207787428553397,0.2974124509216223,0.1175697297844312,0.044353111613894866
11,0.06670908814008933,0.14634136991085556,0.3137113059285447,0.305429208858907,0.1198657358629458,0.047943291298657376
12,0.06433423002400435,0.1416394959417604,0.3158601902572904,0.30379272119477285,0.1243905669611643,0.049982795621007416
13,0.06217343462487066,0.1400691397711557,0.31241119773483084,0.30751810872419644,0.12586549234334113,0.051962626801604905
14,0.06089787166471732,0.13766841998985324,0.31317609251495915,0.3069023469051418,0.12821470452312617,0.053140564402201974
15,0.05976908512162309,0.13674440023029938,0.31149602017976585,0.30866287627343203,0.12911093995859024,0.05421667823628897
16,0.0590763015329837,0.13550575082775096,0.3117417325466851,0.30846057272333666,0.13033459799410563,0.05488104437513755
17,0.05847986858193489,0.13497040383569264,0.31092122239489983,0.3093045025802709,0.13086185714677354,0.055462145460427645
18,0.05810179975378525,0.1343259940923046,0.3109817526767333,0.3092566077143363,0.13150190327893957,0.05583194248390044
19,0.05778435739382071,0.1340198168999149,0.3105789109764613,0.3096662664507758,0.13180572623691744,0.056144922042109274
20,0.057577718053975685,0.13368228748330818,0.31058005624013013,0.3096687991095767,0.13214198549554046,0.05634915361746821
21,0.05740795912010374,0.13350899970584496,0.310380904958786,0.30986993469916047,0.1323145879996667,0.05651761351643744
22,0.057295018368632475,0.1333312163968289,0.31036760171479616,0.3098843085151534,0.13249200159051622,0.05662985341407217
23,0.05720394262048752,0.1332339568261337,0.3102683775798489,0.3099841102439339,0.1325890616913145,0.056720551038280866
24,0.057142255751961545,0.1331398756659716,0.31025500654366756,0.3099977929029323,0.13268303523367744,0.05678203390178895
25,0.057093281874367185,0.1330856501909481,0.3102051637800479,0.3100478037929601,0.13273720264686378,0.05683089771481227
26,0.057059619957810476,0.1330356670078029,0.3101951796874326,0.31005787859295647,0.13278715450454767,0.05686450024944924
27,0.05703324116990298,0.13300559474636298,0.3101699365855667,0.3100831706331717,0.13281720986530834,0.0568908469996866
28,0.05701488933413327,0.13297895153736622,0.31016330588865815,0.3100898277332464,0.13284384395606857,0.056909181550526704
29,0.05700066282235236,0.13296234488602204,0.3101504195493132,0.31010272831759933,0.1328604456879515,0.056923398736760805
30,0.05699066638898832,0.13294810309727784,0.3101462814885517,0.3101068740638124,0.1328746848225532,0.056933390138815765
31,0.05698298617734612,0.13293896374562042,0.31013965363413143,0.31011350606467925,0.1328838227422505,0.056941067635971454
32,0.05697754515695838,0.1329313330140675,0.310137167582248,0.3101159943536491,0.1328914527012338,0.05694650719184232
33,0.05697339570715536,0.1329263170539736,0.3101337349211286,0.310119428221719,0.1328964682445118,0.056950655851510754
34,0.056970436110161185,0.13292222040874127,0.3101322786772064,0.3101208851168139,0.13290056466486402,0.05695361502221236
35,0.05696819282884431,0.1329194736095447,0.31013048958928624,0.31012267455605397,0.1329033113427335,0.05695585807353634
36,0.05696658386611585,0.13291727061986205,0.3101296515969241,0.3101235127379598,0.1329055142669579,0.05695746691217926
37,0.056965370473841745,0.13291576915053388,0.3101287138374426,0.3101244505997037,0.13290701570097008,0.05695868023750687
38,0.05696449617529205,0.1329145828330638,0.31012823782700777,0.3101249266653111,0.13290820199938655,0.056959554499937656
39,0.056963839573424546,0.13291376329514532,0.3101277438255842,0.3101254206965013,0.13290902152702522,0.05696021108231832
40,0.056963364667498996,0.13291312371598338,0.31012747604886737,0.3101256884892778,0.132909661100641,0.05696068597773035
41,0.05696300923791285,0.13291267692702058,0.31012721466946047,0.31012594987734915,0.13291010788661156,0.05696104140164425
42,0.05696275135774495,0.13291233177632367,0.310127065149019,0.3101260994024652,0.1329104530356941,0.056961299278751876
43,0.056962558902849236,0.13291208843730662,0.31012692632373223,0.3101262382302741,0.13291069637384012,0.05696149173199651
44,0.056962418907167134,0.13291190202534303,0.31012684331577034,0.31012632123959666,0.13291088278533383,0.05696163172678782
45,0.05696231467386516,0.13291176959908732,0.31012676934000466,0.3101263952160965,0.132911015211336,0.0569617359596092
46,0.05696223869068266,0.13291166885251404,0.31012672346603504,0.31012644109046217,0.13291111595777247,0.0569618119425324
47,0.05696218222711756,0.13291159683267223,0.3101266839359761,0.3101264806207348,0.1329111879775405,0.0569618684059576
48,0.056962140994314035,0.1329115423537097,0.3101266586751736,0.3101265058816526,0.1329112424564632,0.056961909638685665
49,0.05696211040289316,0.13291150320684259,0.3101266375013166,0.31012652705557175,0.13291128160330887,0.056961940230065816
50,0.05696208803091659,0.13291147373358356,0.31012662363133403,0.3101265409255879,0.13291131107655627,0.056961962602020424
51,0.056962071454585025,0.1329114524644231,0.3101266122669071,0.3101265522900329,0.1329113323457105,0.05696197917834012
52,0.05696205931753483,0.13291143651320286,0.3101266046689374,0.3101265598880124,0.13291134829692733,0.05696199131538393
53,0.056962050334468335,0.13291142496149266,0.31012659855906366,0.31012656599789135,0.1329113598486357,0.05696200029844696
54,0.05696204375064031,0.13291141632579379,0.31012659440469303,0.3101265701522648,0.1329113684843336,0.056962006882273125
55,0.056962038882086743,0.13291141005369678,0.3101265911151488,0.3101265734418106,0.13291137475643006,0.056962011750825686
56,0.05696203531093781,0.13291140537725907,0.3101265888470992,0.31012657570986096,0.1329113794328675,0.05696201532197406
57,0.056962032672130875,0.13291140197260715,0.3101265870739013,0.31012657748305933,0.13291138283751924,0.05696201796078071
58,0.056962030735227834,0.13291139943965377,0.31012658583720676,0.31012657871975413,0.13291138537047253,0.0569620198976836
59,0.05696202930487899,0.13291139759189635,0.3101265848804287,0.3101265796765323,0.13291138721822993,0.05696202132803235
60,0.05696202825440956,0.13291139621969678,0.3101265842067793,0.3101265803501817,0.13291138859042945,0.05696202237850174
