k,trapezoidal,simpsons
0,3.1699250014423126,2.5025003405291835
1,2.000006879289633,1.2224081453788378
2,0.6051633243707873,-0.5252024908995496
3,-1.1245480500630418,-3.258739209027171
4,-3.0434952742540067,-6.822555400004106
5,-5.0222700244711564,-10.704673169759703
6,-7.016901829658372,-14.67466122495193
7,-9.015555886765116,-18.66712476496019
8,-11.015219157243976,-22.66523856611685
9,-13.015134959624016,-26.66476688967919
10,-15.015113909274678,-30.664649720482597
11,-17.015108646594868,-34.66462382143175
12,-19.01510733097432,-38.66448751830037
13,-21.015107002142297,-42.664051434797706
14,-23.015106930860014,-46.611982714654864
15,-25.01510695122638,-51.093109404391484
16,-27.015107507907196,-50.35614381022528
17,-29.015108159631353,-52.67807190511264
18,-31.015121520041408,-47.39266968625039
19,-33.01504201113119,-47.50814690367033
20,-35.01518104597358,-49.678071905112645
